"time" "coef" "e.time" "e.coef"
440 0.19 450.44 0.29
440 0.2 560.755 0.18
446 0.19 548.41 0.065
448 0.14 587.11 0.11
450 0.17 507.66 0.06
451 0.19 516.5 0.13
452 0.18 593.28 0.12
457 0.12 513.61 0.08
460 0.1 567.63 0.06
464 0.18 591.54 0.21
468 0.16 585.39 0.09
471 0.09 501.86 0.08
471 0.19 644.97 0.14
473 0.14 561.44 0.17
473 0.18 460.39 0.07
477 0.08 534.7 0.14
478 0.15 577.92 0.08
484 0.16 553.83 0.03
493 0.14 655.79 0.03
493 0.16 651.19 -0.00339092813765182
495 0.11 630.525 0.08
497 0.12 622.92 0.06
498 0.2 739.1 0.09
499 0.09 490.91 0.06
499 0.15 514.54 0.08
501 0.19 561.46 0.12
504 0.11 737.77 0.15
504 0.16 631.89 0.06
508 0.2 557.33 0.08
510 0.18 705.4 0.06
512 0.1 692.68 0.08
514 0.18 599.6 0.07
515 0.09 588.185 0.06
522 0.09 698.96 0.08
522 0.14 426.26 0.13
526 0.12 741.405 0.05
526 0.14 583.79 0.04
527 0.15 650.575 0.14
529 0.16 530.33 0.04
530 0.13 682.15 0.06
530 0.17 709.21 0.1
532 0.15 545.18 0.13
537 0.16 557.46 0.06
542 0.07 822.06 0.04
542 0.15 570.075 0.07
546 0.13 708.53 0.12
546 0.2 750.75 0.07
557 0.18 519.94 0.03
558 0.14 558.51 0.06
559 0.13 679.44 0.07
559 0.2 766.84 0.08
561 0.2 590.52 0.14
566 0.09 773.29 0.14
566 0.17 676.44 0.03
567 0.18 603.36 0.1
567 0.19 592.44 0.000316098989375486
568 0.19 590.165 0.1
569 0.09 820.15 0.13
569 0.17 522.93 0.04
570 0.16 490.76 0.12
572 0.18 640.52 0.19
573 0.11 705.68 0.06
574 0.19 564.8 0.05
575 0.15 629.72 0.26
579 0.15 729.46 0.1
580 0.2 542.36 0.07
583 0.13 631.85 0.04
590 0.14 687.36 0.22
594 0.09 519.46 0.06
595 0.15 701.49 0.05
597 0.09 765.315 0.08
600 0.13 708.705 0.055
600 0.1 627.07 0.04
601 0.15 682.84 0.065
602 0.16 741.625 0.02
603 0.08 745.9 0.05
604 0.14 635.22 0.055
604 0.16 703.785 0.06
605 0.11 519.37 0.06
606 0.08 720.48 0.06
609 0.16 785.56 0.07
610 0.15 651.99 0.04
611 0.16 573.45 0.24
614 0.18 669.98 0.07
615 0.2 594.28 0.105
619 0.15 746.28 0.03
625 0.13 812.17 0.06
626 0.07 704.22 0.1
628 0.09 687.73 0.04
630 0.17 760.72 0.04
631 0.19 745.635 0.04
632 0.07 689.33 0.05
632 0.2 630.32 0.07
635 0.14 734.74 0.03
635 0.19 652.82 0.08
636 0.16 757 0.09
637 0.19 754.905 0.04
639 0.19 645.25 0.02
642 0.2 526.12 0.02
643 0.06 746.42 0.01
644 0.18 763.37 0.04
646 0.1 774.45 0.02
647 0.09 850 0.05
648 0.14 732.27 0.05
648 0.18 710.01 0.08
648 0.2 659.86 0.03
649 0.2 610.75 0.08
651 0.05 595.18 0.08
657 0.13 877.025 0.04
657 0.17 728.34 0.13
661 0.15 862.495 0.02
662 0.11 847.005 0.06
665 0.08 682.785 0.065
666 0.14 821.8 0.06
667 0.15 752.91 0.09
667 0.16 683.16 0.06
667 0.19 718.68 0.31
670 0.09 835.9 0.03
671 0.07 817.86 0.04
671 0.12 905.69 0.04
672 0.09 733.95 0.04
