"time" "coef" "e.time" "e.coef"
536 0.18 635.78 6.31574239713774e-05
538 0.13 674.91 -1.43357667656714e-05
538 0.17 588.085 0.01
540 0.11 656 0.03
541 0.08 642.79 0.1
549 0.19 532.27 0.06
554 0.1 578.28 0.02
558 0.14 568.75 0.09
559 0.19 608.8 0.07
561 0.09 619.7 0.07
562 0.14 583.66 0.785
568 0.09 561.51 0.06
569 0.18 624.1 0.01
574 0.09 660.2 0.05
575 0.12 559.735 0.05
576 0.14 656.72 3.01081952117864e-05
577 0.18 626.1 0.045
578 0.11 689.07 0.14
580 0.16 573.8 0.000137882622200425
583 0.1 774.22 0.07
586 0.2 595.32 0.14
587 0.16 638.63 0.01
587 0.1 780.55 0.05
588 0.12 834.73 0.16
590 0.17 678.03 0.03
591 0.18 553.36 0
592 0.07 568.75 0.000110517007953968
592 0.09 659.92 0.03
595 0.13 687.59 0.04
597 0.09 724.88 0.04
598 0.11 767.925 0.035
600 0.18 689.44 0.11
600 0.19 576.8 0.01
602 0.19 673.045 0.095
608 0.11 754.65 0.05
608 0.14 620.79 0.05
612 0.07 692.36 0.000502542194092828
613 0.15 550.52 0.03
615 0.16 728.57 0.000587965838509317
618 0.09 796.7 0.19
621 0.06 785.34 0.04
623 0.1 683.01 0.000579443155452436
624 0.11 889.93 0.04
628 0.1 676.86 0.000337996428571429
629 0.1 759.255 0
630 0.16 751.37 0.03
632 0.15 692.58 0.02
635 0.1 750.38 -0.00158446282245827
636 0.05 792.31 0
640 0.07 706.84 0.06
644 0.13 670.99 0.01
644 0.14 705.22 0.055
649 0.08 721.71 0.00046789485458613
649 0.13 785.05 0.05
649 0.2 759.28 0.06
651 0.07 777.75 0.0150911973166108
653 0.09 788.19 0.05
658 0.2 625.885 0.045
659 0.09 726.2 0.05
659 0.13 676.37 0.06
661 0.12 691.345 0.05
661 0.15 667.93 0.01
662 0.07 827.18 0.00130581820325395
665 0.12 668.02 0.03
666 0.19 792.62 0.02
667 0.15 586.23 0.12
669 0.14 683.36 0.02
669 0.17 699.2 0.03
673 0.13 672.66 0.07
681 0.18 726.25 0.05
682 0.05 707.79 0.04
682 0.09 799.06 0.02
683 0.06 718.5 0.045
685 0.06 651.45 0.02
687 0.14 668.62 0.05
687 0.18 728.805 0.04
688 0.09 819.36 0.03
689 0.09 741.04 0.04
689 0.15 720.37 0.1
693 0.15 678.09 0.05
695 0.19 791.21 2
696 0.18 586.99 0.05
696 0.2 760.55 0.02
697 0.17 796.41 0.03
698 0.13 721.21 0.03
699 0.09 713.04 0.015
703 0.09 855.645 0.195
703 0.14 696.65 0.04
706 0.17 410.15 0.12
706 0.19 648.13 0.04
710 0.18 717.94 0.03
715 0.07 680.74 0.02
717 0.06 791.265 0.03
718 0.07 712 0.08
719 0.08 885.13 0.03
722 0.06 621.43 0.04
723 0.08 672.64 0.04
723 0.11 625.62 0.000367572118702553
724 0.08 798.115 0.02
724 0.12 867.47 0.02
724 0.1 679.88 0.03
725 0.2 803.6 0.03
726 0.12 706.1 0.03
727 0.04 809.45 0.06
727 0.06 709.96 0.06
727 0.08 742.48 0.05
728 0.14 670.445 0.026652022912657
729 0.12 820.65 0.05
730 0.2 663.55 1.08
731 0.09 697.54 0.000555745757330091
731 0.1 785 0
733 0.07 795.09 0.01
733 0.2 781.76 0.03
735 0.17 673.99 0.05
735 0.19 743.775 0.05
739 0.12 794.34 0.03
739 0.14 670.49 0.08
739 0.19 751.23 0.03
740 0.12 764.53 0.03
745 0.2 781.145 0.105
746 0.17 728.45 0.04
747 0.07 837.37 0.04
749 0.06 812.44 0.01
749 0.13 734.14 0.055
756 0.06 907.26 0.09
758 0.13 904.87 0.01
759 0.12 729.66 0.04
763 0.06 751.1 0.02
764 0.1 729.415 0.1
765 0.1 677.22 0.03
769 0.13 794.595 0.02
771 0.09 736.92 0.02
771 0.18 728.26 0.04
773 0.18 739.77 0.08
775 0.07 789.36 0.06
781 0.12 725.17 0.01
786 0.16 772.81 0.02
788 0.14 1312.48 0.02
793 0.11 815.53 0.00413677314620863
794 0.17 902.87 0.03
794 0.18 788.8 0.03
795 0.16 704.59 0.03
797 0.12 700.26 0.03
798 0.2 863.995 0.0013403404773622
800 0.19 832.95 0.02
802 0.07 773.06 0.06
802 0.11 907.1 0.01
803 0.08 707.32 0.01
803 0.13 751.11 0.03
805 0.16 809.5 0.07
809 0.12 828.83 0.02
809 0.18 791.66 0.03
809 0.2 668.96 0.04
811 0.17 666.11 0.05
812 0.08 828.59 0.03
813 0.19 628.25 0.13
814 0.18 719.99 0.09
814 0.1 871.69 0.11
815 0.06 795.5 0.03
817 0.18 685.875 0.08
819 0.17 664.56 0.06
821 0.05 675.74 0
821 0.19 674.735 0.03
823 0.16 748.38 0.07
826 0.09 682.21 0.03
828 0.17 805.09 0.05
831 0.16 712.09 0.05
838 0.08 680.78 0.05
838 0.12 692.98 0.03
840 0.1 788.73 6.14628155755242e-05
841 0.14 794.22 0.04
844 0.08 729.85 0.14
845 0.16 760.68 0.08
848 0.18 935.07 0.06
850 0.11 809.17 0.05
851 0.1 743.97 0.02
852 0.16 727.49 0.03
852 0.1 798.97 0.04
862 0.08 642.955 0.03
862 0.18 752.71 0.18
865 0.15 693.525 0.04
865 0.16 679.56 0.04
866 0.05 861.25 0.02
869 0.11 739.29 0.01
870 0.14 894.13 0.035
871 0.07 791.73 0.02
872 0.04 805.48 0.03
873 0.06 779.55 0.02
874 0.08 766.33 0.04
876 0.18 873.81 0.04
876 0.19 704.41 0.04
878 0.17 861.22 0.05
880 0.11 825.68 0.04
881 0.07 751.79 0.03
882 0.04 795.85 0.03
883 0.14 737.57 0.13
885 0.07 808.88 0.02
887 0.11 753.72 0.03
890 0.03 858.51 0.01
890 0.18 706.92 0.06
894 0.2 798.85 0.04
898 0.09 665.4 0.000234132022844999
898 0.13 893.75 0.01
902 0.07 851.25 0.02
905 0.18 754.68 0.16
908 0.11 811.9 0.03
909 0.08 764.81 0.02
909 0.16 780.99 0.02
911 0.16 855.05 0.05
925 0.03 780.45 0
926 0.08 848.67 0.01
927 0.16 910.35 0.04
930 0.14 585.24 0.065
931 0.18 791.13 0.02
933 0.16 829.365 0.03
936 0.13 761.7 0.04
946 0.06 744.91 0.06
946 0.14 785.63 0.00543101183809952
949 0.14 851.105 0.04
953 0.14 675.79 0.02
955 0.04 484.26 0.06
957 0.14 827.81 0.02
958 0.17 768.2 0.06
958 0.18 857.86 0.05
959 0.13 575.86 0.06
961 0.04 932.02 0.03
962 0.07 810.29 0.03
962 0.1 772.03 0.01
966 0.1 762.235 0.21
967 0.05 922.69 0.04
973 0.2 753.83 0.02
978 0.09 551.96 0.12
980 0.08 462.39 0.04
995 0.14 719.75 0.03
998 0.11 824.79 0.02
999 0.16 902.44 0.04
