"time" "coef" "e.time" "e.coef"
1426 0.07 957.07 0.03
1426 0.08 1124.8 0.03
1427 0.09 1200.27 0.05
1429 0.17 1497.37 0.03
1429 0.19 1922.02 0.04
1430 0.2 1223.495 0.05
1433 0.03 1514.595 0.02
1433 0.06 1366.06 0.05
1435 0.02 1643.01 0.03
1435 0.11 1164.97 0.06
1436 0.08 1319.57 0.03
1438 0.11 1727.61 0.05
1439 0.1 1260.35 0.05
1440 0.15 1484.07 0.03
1446 0.04 1405.3 0.04
1446 0.09 1273.29 0.03
1446 0.2 1240.69 0.06
1447 0.08 1192.21 0.04
1449 0.16 1607.47 0.03
1450 0.17 1312.62 0.06
1451 0.04 1452.965 0.03
1451 0.09 1169.64 0.04
1451 0.14 1559.09 0.04
1454 0.03 1488.85 0.04
1454 0.11 1555.54 0.04
1460 0.13 1258.8 0.05
1460 0.16 1335.27 0.04
1461 0.12 1446.34 0.03
1461 0.15 1435.9 0.05
1463 0.11 1321.24 0.03
1463 0.12 1375.35 0.04
1464 0.16 1198.975 0.04
1467 0.11 1540.57 0.05
1467 0.15 1221.69 0.04
1467 0.18 1509.32 0.04
1472 0.02 1168.27 0.03
1473 0.04 1175.74 0.04
1474 0.08 1370.045 0.03
1475 0.1 1226.225 0.03
1476 0.16 1322.345 0.03
1480 0.13 1119.19 0.03
1481 0.12 1311.06 0.045
1484 0.08 1508.77 0.04
1484 0.11 1397.93 0.02
1484 0.14 1527.29 0.04
1484 0.15 1497.69 0.03
1485 0.16 1190.02 0.055
1485 0.19 1401.17 0.075
1486 0.19 1217.69 0.04
1489 0.03 1289.4 0.03
1489 0.07 1384.46 0.03
1493 0.11 1224.28 0.05
1495 0.13 1285.89 0.05
1497 0.03 1307.69 0.03
1497 0.05 1149.67 0.02
1497 0.12 1229.39 0.06
1500 0.19 1296.46 0.08
1503 0.07 1271.85 0.02
1503 0.08 1409.76 0.04
1503 0.12 1708.82 0.06
1504 0.1 1681.97 0.07
1505 0.06 1298.04 0.03
1505 0.18 1222.98 0.05
1506 0.02 1341.31 0.02
1507 0.15 1268.955 0.04
1509 0.08 1473.88 0.05
1510 0.11 1391.6 0.03
1510 0.12 1394.96 0.03
1510 0.17 1623.12 0.05
1512 0.09 1435.93 0.06
1515 0.14 1323.685 0.03
1515 0.18 1654.12 0.03
1516 0.02 1261.46 0.02
1518 0.15 1751.91 0.06
1521 0.04 1166.625 0.03
1521 0.13 1241.65 0.02
1521 0.18 1221.88 0.06
1522 0.06 1145.56 0.03
1523 0.11 1400.96 0.04
1524 0.03 1283.785 0.06
1526 0.15 1234.49 0.04
1528 0.08 1341.17 0.02
1530 0.07 1548.84 0.03
1532 0.03 1615.33 0.01
1534 0.14 1348.69 0.06
1535 0.05 1540.04 0.06
1536 0.14 1248 0.04
1537 0.11 1205.52 0.03
1538 0.09 1597.84 0.03
1539 0.11 1418.46 0.05
1540 0.17 1690.96 0.05
1541 0.14 1707.89 0.04
1548 0.07 1218.91 0.02
1549 0.15 1186.96 0.04
1549 0.2 1406.08 0.03
1550 0.11 1202.76 0.05
1550 0.18 1387.73 0.03
1551 0.13 1505.025 0.04
1551 0.17 1277.6 0.08
1554 0.03 1198.59 0.03
1557 0.03 1677.44 0.03
1557 0.1 1479.22 0.06
1559 0.05 1283.15 0.03
1559 0.12 1427.78 0.03
1560 0.1 1454.79 0.05
